id,trace_log
701,google.cloud.bigquery.dbapi.OperationalError: 400 Provided Schema does not match the target table 'revenue_daily'. Field 'updated_at' is missing or has different type.
702,google.api_core.exceptions.Forbidden: 403 Access Denied: Project prod-data-project. Service account bq-loader@sandbox.iam.gserviceaccount.com lacks BigQuery Data Editor permission for table user_profile.
703,Permission denied (publickey) when trying to establish SSH tunnel to remote Notebook server 10.128.0.45.
704,Permission denied (publickey) when trying to establish SSH tunnel to remote Notebook server 10.128.0.45.
705,google.api_core.exceptions.Forbidden: 403 Access Denied: Project dw-mart-analytics. Service account airflow-worker@prod-project.iam.gserviceaccount.com lacks BigQuery Data Editor permission for table click_logs.
706,Job execution exceeded the hard limit of 6 hours and was cancelled by the BigQuery service. Job ID: bq_job_386951
707,google.api_core.exceptions.Forbidden: 403 Access Denied: Project sandbox-data-123. Service account bq-loader@sandbox.iam.gserviceaccount.com lacks BigQuery Data Editor permission for table mart_sales.
708,MemoryError: Unable to allocate 8.0 GiB for array in pandas processing. Task killed by GKE scheduler.
709,MemoryError: Unable to allocate 16.0 GiB for array in pandas processing. Task killed by GKE scheduler.
710,Unknown Airflow Exception in task processing_1519: Internal server error triggered by unexpected upstream response.
711,Job execution exceeded the hard limit of 6 hours and was cancelled by the BigQuery service. Job ID: bq_job_339404
712,google.cloud.bigquery.dbapi.OperationalError: 400 Provided Schema does not match the target table 'user_profile'. Field 'updated_at' is missing or has different type.
713,Unknown Airflow Exception in task processing_5854: Internal server error triggered by unexpected upstream response.
714,Connection reset by peer while uploading results to BigQuery GCS stage for table mart_sales.
715,ModuleNotFoundError: No module named 'pyarrow'. Please check requirements.txt for GKE execution environment.
716,google.cloud.bigquery.dbapi.OperationalError: 400 Provided Schema does not match the target table 'mart_sales'. Field 'updated_at' is missing or has different type.
717,Job execution exceeded the hard limit of 6 hours and was cancelled by the BigQuery service. Job ID: bq_job_751547
718,ModuleNotFoundError: No module named 'tensorflow'. Please check requirements.txt for GKE execution environment.
719,google.cloud.bigquery.dbapi.OperationalError: 400 Provided Schema does not match the target table 'revenue_daily'. Field 'updated_at' is missing or has different type.
720,Unknown Airflow Exception in task processing_7930: Internal server error triggered by unexpected upstream response.
721,google.api_core.exceptions.Forbidden: 403 Access Denied: Project prod-data-project. Service account bq-loader@sandbox.iam.gserviceaccount.com lacks BigQuery Data Editor permission for table mart_sales.
722,Unknown Airflow Exception in task processing_9783: Internal server error triggered by unexpected upstream response.
723,Job execution exceeded the hard limit of 6 hours and was cancelled by the BigQuery service. Job ID: bq_job_754450
724,"DataFrame columns mismatch. Expected ['id', 'val'], found ['id', 'value'] in notebook job 6833."
725,Permission denied (publickey) when trying to establish SSH tunnel to remote Notebook server 10.128.0.45.
726,google.cloud.bigquery.dbapi.OperationalError: 400 Provided Schema does not match the target table 'mart_sales'. Field 'updated_at' is missing or has different type.
727,google.cloud.bigquery.dbapi.OperationalError: 400 Provided Schema does not match the target table 'mart_sales'. Field 'updated_at' is missing or has different type.
728,Job execution exceeded the hard limit of 6 hours and was cancelled by the BigQuery service. Job ID: bq_job_761698
729,ModuleNotFoundError: No module named 'pyarrow'. Please check requirements.txt for GKE execution environment.
730,Connection reset by peer while uploading results to BigQuery GCS stage for table mart_sales.
731,"DataFrame columns mismatch. Expected ['id', 'user_id', 'amount'], found ['id', 'value'] in notebook job 7197."
732,ModuleNotFoundError: No module named 'pyarrow'. Please check requirements.txt for GKE execution environment.
733,MemoryError: Unable to allocate 8.0 GiB for array in pandas processing. Task killed by GKE scheduler.
734,Job execution exceeded the hard limit of 6 hours and was cancelled by the BigQuery service. Job ID: bq_job_657330
735,MemoryError: Unable to allocate 4.0 GiB for array in pandas processing. Task killed by GKE scheduler.
736,Unknown Airflow Exception in task processing_4135: Internal server error triggered by unexpected upstream response.
737,fin_history_sensor_order_info failed. Timeout after 72 hours. Last poke at 2024-03-12 10:00:00.
738,Connection reset by peer while uploading results to BigQuery GCS stage for table user_profile.
739,Permission denied (publickey) when trying to establish SSH tunnel to remote Notebook server 10.128.0.45.
740,Unknown Airflow Exception in task processing_2343: Internal server error triggered by unexpected upstream response.
741,Job execution exceeded the hard limit of 6 hours and was cancelled by the BigQuery service. Job ID: bq_job_661692
742,Unknown Airflow Exception in task processing_5465: Internal server error triggered by unexpected upstream response.
743,Job execution exceeded the hard limit of 6 hours and was cancelled by the BigQuery service. Job ID: bq_job_949594
744,google.api_core.exceptions.Forbidden: 403 Access Denied: Project dw-mart-analytics. Service account airflow-worker@prod-project.iam.gserviceaccount.com lacks BigQuery Data Editor permission for table click_logs.
745,MemoryError: Unable to allocate 16.0 GiB for array in pandas processing. Task killed by GKE scheduler.
746,fin_history_sensor_user_profile failed. Timeout after 72 hours. Last poke at 2024-03-12 10:00:00.
747,Connection reset by peer while uploading results to BigQuery GCS stage for table order_info.
748,google.api_core.exceptions.Forbidden: 403 Access Denied: Project sandbox-data-123. Service account airflow-worker@prod-project.iam.gserviceaccount.com lacks BigQuery Data Editor permission for table click_logs.
749,"DataFrame columns mismatch. Expected ['id', 'val'], found ['id', 'value'] in notebook job 1647."
750,MemoryError: Unable to allocate 8.0 GiB for array in pandas processing. Task killed by GKE scheduler.
751,Job execution exceeded the hard limit of 6 hours and was cancelled by the BigQuery service. Job ID: bq_job_302701
752,Permission denied (publickey) when trying to establish SSH tunnel to remote Notebook server 10.128.0.45.
753,google.api_core.exceptions.Forbidden: 403 Access Denied: Project dw-mart-analytics. Service account airflow-worker@prod-project.iam.gserviceaccount.com lacks BigQuery Data Editor permission for table click_logs.
754,Connection reset by peer while uploading results to BigQuery GCS stage for table click_logs.
755,ModuleNotFoundError: No module named 'scikit-learn'. Please check requirements.txt for GKE execution environment.
756,fin_history_sensor_revenue_daily failed. Timeout after 72 hours. Last poke at 2024-03-12 10:00:00.
757,Permission denied (publickey) when trying to establish SSH tunnel to remote Notebook server 10.128.0.45.
758,"DataFrame columns mismatch. Expected ['id', 'val'], found ['id', 'value'] in notebook job 1356."
759,"DataFrame columns mismatch. Expected ['event_time', 'user_ip'], found ['id', 'value'] in notebook job 5671."
760,fin_history_sensor_click_logs failed. Timeout after 72 hours. Last poke at 2024-03-12 10:00:00.
761,google.api_core.exceptions.Forbidden: 403 Access Denied: Project prod-data-project. Service account airflow-worker@prod-project.iam.gserviceaccount.com lacks BigQuery Data Editor permission for table mart_sales.
762,Connection reset by peer while uploading results to BigQuery GCS stage for table user_profile.
763,google.cloud.bigquery.dbapi.OperationalError: 400 Provided Schema does not match the target table 'click_logs'. Field 'updated_at' is missing or has different type.
764,MemoryError: Unable to allocate 8.0 GiB for array in pandas processing. Task killed by GKE scheduler.
765,google.api_core.exceptions.Forbidden: 403 Access Denied: Project sandbox-data-123. Service account airflow-worker@prod-project.iam.gserviceaccount.com lacks BigQuery Data Editor permission for table user_profile.
766,Unknown Airflow Exception in task processing_2541: Internal server error triggered by unexpected upstream response.
767,"DataFrame columns mismatch. Expected ['id', 'val'], found ['id', 'value'] in notebook job 4020."
768,MemoryError: Unable to allocate 4.0 GiB for array in pandas processing. Task killed by GKE scheduler.
769,Job execution exceeded the hard limit of 6 hours and was cancelled by the BigQuery service. Job ID: bq_job_135200
770,Connection reset by peer while uploading results to BigQuery GCS stage for table mart_sales.
771,Permission denied (publickey) when trying to establish SSH tunnel to remote Notebook server 10.128.0.45.
772,fin_history_sensor_order_info failed. Timeout after 72 hours. Last poke at 2024-03-12 10:00:00.
773,"DataFrame columns mismatch. Expected ['id', 'val'], found ['id', 'value'] in notebook job 9708."
774,Job execution exceeded the hard limit of 6 hours and was cancelled by the BigQuery service. Job ID: bq_job_790189
775,Permission denied (publickey) when trying to establish SSH tunnel to remote Notebook server 10.128.0.45.
776,Permission denied (publickey) when trying to establish SSH tunnel to remote Notebook server 10.128.0.45.
777,Connection reset by peer while uploading results to BigQuery GCS stage for table revenue_daily.
778,Connection reset by peer while uploading results to BigQuery GCS stage for table order_info.
779,MemoryError: Unable to allocate 4.0 GiB for array in pandas processing. Task killed by GKE scheduler.
780,fin_history_sensor_mart_sales failed. Timeout after 72 hours. Last poke at 2024-03-12 10:00:00.
781,Job execution exceeded the hard limit of 6 hours and was cancelled by the BigQuery service. Job ID: bq_job_860698
782,ModuleNotFoundError: No module named 'tensorflow'. Please check requirements.txt for GKE execution environment.
783,MemoryError: Unable to allocate 16.0 GiB for array in pandas processing. Task killed by GKE scheduler.
784,Permission denied (publickey) when trying to establish SSH tunnel to remote Notebook server 10.128.0.45.
785,"DataFrame columns mismatch. Expected ['id', 'user_id', 'amount'], found ['id', 'value'] in notebook job 6353."
786,MemoryError: Unable to allocate 4.0 GiB for array in pandas processing. Task killed by GKE scheduler.
787,google.cloud.bigquery.dbapi.OperationalError: 400 Provided Schema does not match the target table 'user_profile'. Field 'updated_at' is missing or has different type.
788,Connection reset by peer while uploading results to BigQuery GCS stage for table user_profile.
789,MemoryError: Unable to allocate 4.0 GiB for array in pandas processing. Task killed by GKE scheduler.
790,fin_history_sensor_revenue_daily failed. Timeout after 72 hours. Last poke at 2024-03-12 10:00:00.
791,fin_history_sensor_order_info failed. Timeout after 72 hours. Last poke at 2024-03-12 10:00:00.
792,Job execution exceeded the hard limit of 6 hours and was cancelled by the BigQuery service. Job ID: bq_job_634065
793,google.api_core.exceptions.Forbidden: 403 Access Denied: Project sandbox-data-123. Service account bq-loader@sandbox.iam.gserviceaccount.com lacks BigQuery Data Editor permission for table order_info.
794,google.cloud.bigquery.dbapi.OperationalError: 400 Provided Schema does not match the target table 'revenue_daily'. Field 'updated_at' is missing or has different type.
795,fin_history_sensor_mart_sales failed. Timeout after 72 hours. Last poke at 2024-03-12 10:00:00.
796,google.cloud.bigquery.dbapi.OperationalError: 400 Provided Schema does not match the target table 'user_profile'. Field 'updated_at' is missing or has different type.
797,Permission denied (publickey) when trying to establish SSH tunnel to remote Notebook server 10.128.0.45.
798,ModuleNotFoundError: No module named 'tensorflow'. Please check requirements.txt for GKE execution environment.
799,Unknown Airflow Exception in task processing_3175: Internal server error triggered by unexpected upstream response.
800,ModuleNotFoundError: No module named 'pyarrow'. Please check requirements.txt for GKE execution environment.
