id,trace_log
1,fin_history_sensor_user_profile failed. Timeout after 72 hours. Last poke at 2024-03-12 10:00:00.
2,fin_history_sensor_order_info failed. Timeout after 72 hours. Last poke at 2024-03-12 10:00:00.
3,fin_history_sensor_click_logs failed. Timeout after 72 hours. Last poke at 2024-03-12 10:00:00.
4,ModuleNotFoundError: No module named 'scikit-learn'. Please check requirements.txt for GKE execution environment.
5,Unknown Airflow Exception in task processing_7714: Internal server error triggered by unexpected upstream response.
6,"DataFrame columns mismatch. Expected ['id', 'val'], found ['id', 'value'] in notebook job 7804."
7,Job execution exceeded the hard limit of 6 hours and was cancelled by the BigQuery service. Job ID: bq_job_216628
8,Unknown Airflow Exception in task processing_8896: Internal server error triggered by unexpected upstream response.
9,fin_history_sensor_order_info failed. Timeout after 72 hours. Last poke at 2024-03-12 10:00:00.
10,Unknown Airflow Exception in task processing_5140: Internal server error triggered by unexpected upstream response.
11,Permission denied (publickey) when trying to establish SSH tunnel to remote Notebook server 10.128.0.45.
12,Job execution exceeded the hard limit of 6 hours and was cancelled by the BigQuery service. Job ID: bq_job_426890
13,Permission denied (publickey) when trying to establish SSH tunnel to remote Notebook server 10.128.0.45.
14,ModuleNotFoundError: No module named 'pyarrow'. Please check requirements.txt for GKE execution environment.
15,"DataFrame columns mismatch. Expected ['id', 'val'], found ['id', 'value'] in notebook job 1040."
16,"DataFrame columns mismatch. Expected ['event_time', 'user_ip'], found ['id', 'value'] in notebook job 9582."
17,MemoryError: Unable to allocate 16.0 GiB for array in pandas processing. Task killed by GKE scheduler.
18,Permission denied (publickey) when trying to establish SSH tunnel to remote Notebook server 10.128.0.45.
19,ModuleNotFoundError: No module named 'scikit-learn'. Please check requirements.txt for GKE execution environment.
20,fin_history_sensor_revenue_daily failed. Timeout after 72 hours. Last poke at 2024-03-12 10:00:00.
21,MemoryError: Unable to allocate 8.0 GiB for array in pandas processing. Task killed by GKE scheduler.
22,google.cloud.bigquery.dbapi.OperationalError: 400 Provided Schema does not match the target table 'revenue_daily'. Field 'updated_at' is missing or has different type.
